date;cash_type;money;coffee_name
29/04/2024;card;37.72;Cappuccino
30/04/2024;card;37.72;Latte
30/04/2024;card;32.82;Americano with Milk
30/04/2024;card;32.82;Americano with Milk
30/04/2024;card;27.92;Americano
30/04/2024;card;32.82;Americano with Milk
30/04/2024;card;37.72;Cappuccino
30/04/2024;card;32.82;Americano with Milk
30/04/2024;card;37.72;Latte
02/05/2024;card;27.92;Americano
02/05/2024;cash;39.0;Latte
02/05/2024;card;32.82;Americano with Milk
02/05/2024;card;37.72;Cappuccino
02/05/2024;card;32.82;Americano with Milk
02/05/2024;card;37.72;Latte
02/05/2024;card;37.72;Cappuccino
03/05/2024;cash;39.0;Latte
03/05/2024;card;37.72;Latte
03/05/2024;card;37.72;Latte
06/05/2024;card;27.92;Americano
06/05/2024;card;37.72;Cappuccino
06/05/2024;card;32.82;Americano with Milk
06/05/2024;card;27.92;Americano
06/05/2024;card;27.92;Cortado
06/05/2024;cash;29.0;Americano
06/05/2024;card;27.92;Cortado
06/05/2024;card;27.92;Americano
06/05/2024;card;37.72;Cappuccino
06/05/2024;card;37.72;Cappuccino
07/05/2024;card;37.72;Cocoa
07/05/2024;card;27.92;Cortado
07/05/2024;card;27.92;Cortado
07/05/2024;card;37.72;Cocoa
07/05/2024;card;27.92;Americano
07/05/2024;card;37.72;Cappuccino
07/05/2024;card;37.72;Latte
07/05/2024;cash;34.0;Americano with Milk
07/05/2024;card;37.72;Cappuccino
07/05/2024;card;37.72;Cappuccino
08/05/2024;card;37.72;Latte
09/05/2024;card;37.72;Cappuccino
09/05/2024;card;27.92;Americano
09/05/2024;card;37.72;Latte
09/05/2024;card;37.72;Latte
09/05/2024;card;37.72;Latte
09/05/2024;card;27.92;Americano
09/05/2024;card;27.92;Americano
09/05/2024;card;27.92;Americano
09/05/2024;card;32.82;Americano with Milk
10/05/2024;cash;39.0;Latte
10/05/2024;card;37.72;Latte
10/05/2024;card;37.72;Latte
10/05/2024;cash;34.0;Americano with Milk
11/05/2024;card;37.72;Latte
11/05/2024;cash;39.0;Latte
11/05/2024;card;32.82;Americano with Milk
11/05/2024;card;37.72;Cocoa
11/05/2024;card;37.72;Cappuccino
11/05/2024;card;32.82;Americano with Milk
11/05/2024;card;37.72;Cappuccino
11/05/2024;card;37.72;Latte
12/05/2024;card;37.72;Latte
12/05/2024;card;37.72;Latte
12/05/2024;card;27.92;Americano
12/05/2024;card;37.72;Latte
12/05/2024;card;32.82;Americano with Milk
12/05/2024;card;32.82;Americano with Milk
12/05/2024;card;32.82;Americano with Milk
12/05/2024;card;32.82;Americano with Milk
13/05/2024;card;32.82;Americano with Milk
13/05/2024;cash;29.0;Americano
13/05/2024;cash;29.0;Americano
14/05/2024;card;27.92;Americano
14/05/2024;card;27.92;Americano
14/05/2024;card;27.92;Americano
14/05/2024;card;37.72;Cappuccino
14/05/2024;card;37.72;Latte
14/05/2024;card;37.72;Cappuccino
14/05/2024;card;37.72;Cappuccino
14/05/2024;card;32.82;Americano with Milk
14/05/2024;card;27.92;Americano
14/05/2024;card;32.82;Americano with Milk
14/05/2024;card;37.72;Cappuccino
14/05/2024;card;37.72;Hot Chocolate
15/05/2024;card;37.72;Latte
15/05/2024;card;23.02;Espresso
15/05/2024;card;27.92;Americano
15/05/2024;card;27.92;Americano
15/05/2024;card;27.92;Americano
15/05/2024;card;27.92;Americano
15/05/2024;card;32.82;Americano with Milk
15/05/2024;cash;29.0;Americano
15/05/2024;card;27.92;Cortado
15/05/2024;card;27.92;Cortado
15/05/2024;card;23.02;Espresso
15/05/2024;card;37.72;Cappuccino
16/05/2024;card;32.82;Americano with Milk
16/05/2024;card;32.82;Americano with Milk
16/05/2024;cash;39.0;Latte
16/05/2024;cash;39.0;Cappuccino
16/05/2024;card;32.82;Americano with Milk
16/05/2024;card;37.72;Hot Chocolate
16/05/2024;card;37.72;Latte
16/05/2024;card;37.72;Hot Chocolate
16/05/2024;card;37.72;Latte
17/05/2024;card;27.92;Americano
17/05/2024;card;32.82;Americano with Milk
17/05/2024;cash;34.0;Americano with Milk
17/05/2024;card;32.82;Americano with Milk
17/05/2024;card;37.72;Cappuccino
17/05/2024;card;37.72;Cappuccino
17/05/2024;card;27.92;Americano
17/05/2024;card;37.72;Latte
17/05/2024;card;37.72;Latte
18/05/2024;card;37.72;Cappuccino
18/05/2024;card;37.72;Cappuccino
18/05/2024;card;32.82;Americano with Milk
18/05/2024;card;32.82;Americano with Milk
18/05/2024;card;32.82;Americano with Milk
18/05/2024;card;32.82;Americano with Milk
18/05/2024;card;37.72;Latte
18/05/2024;cash;39.0;Cappuccino
19/05/2024;card;27.92;Americano
19/05/2024;card;27.92;Americano
19/05/2024;card;37.72;Cappuccino
19/05/2024;cash;24.0;Espresso
19/05/2024;card;32.82;Americano with Milk
19/05/2024;card;27.92;Americano
19/05/2024;card;32.82;Americano with Milk
19/05/2024;card;32.82;Americano with Milk
19/05/2024;card;23.02;Espresso
19/05/2024;card;37.72;Hot Chocolate
19/05/2024;card;37.72;Cappuccino
19/05/2024;card;37.72;Cappuccino
19/05/2024;card;37.72;Cappuccino
20/05/2024;card;32.82;Americano with Milk
20/05/2024;card;37.72;Latte
20/05/2024;card;37.72;Latte
20/05/2024;card;27.92;Americano
20/05/2024;card;27.92;Americano
20/05/2024;card;27.92;Americano
20/05/2024;card;27.92;Americano
20/05/2024;card;32.82;Americano with Milk
20/05/2024;card;37.72;Cappuccino
20/05/2024;cash;29.0;Americano
20/05/2024;card;37.72;Latte
20/05/2024;card;37.72;Latte
20/05/2024;card;32.82;Americano with Milk
20/05/2024;card;37.72;Cocoa
20/05/2024;card;27.92;Cortado
20/05/2024;card;32.82;Americano with Milk
20/05/2024;card;32.82;Americano with Milk
21/05/2024;card;37.72;Latte
21/05/2024;cash;29.0;Americano
21/05/2024;cash;34.0;Americano with Milk
21/05/2024;cash;39.0;Cocoa
21/05/2024;cash;39.0;Latte
21/05/2024;card;37.72;Latte
21/05/2024;card;23.02;Espresso
21/05/2024;card;37.72;Cappuccino
21/05/2024;card;37.72;Cappuccino
22/05/2024;card;37.72;Cappuccino
22/05/2024;card;32.82;Americano with Milk
22/05/2024;card;27.92;Cortado
22/05/2024;card;32.82;Americano with Milk
22/05/2024;card;27.92;Americano
22/05/2024;card;27.92;Americano
22/05/2024;card;32.82;Americano with Milk
22/05/2024;card;37.72;Cappuccino
22/05/2024;card;37.72;Cappuccino
22/05/2024;card;37.72;Hot Chocolate
22/05/2024;card;37.72;Cappuccino
23/05/2024;card;37.72;Cappuccino
23/05/2024;card;23.02;Espresso
23/05/2024;card;37.72;Cappuccino
23/05/2024;card;37.72;Cappuccino
23/05/2024;card;37.72;Cappuccino
23/05/2024;card;37.72;Latte
23/05/2024;card;37.72;Cappuccino
23/05/2024;card;37.72;Latte
23/05/2024;card;27.92;Cortado
23/05/2024;card;37.72;Cappuccino
23/05/2024;card;37.72;Cappuccino
23/05/2024;card;37.72;Cappuccino
23/05/2024;card;37.72;Cappuccino
23/05/2024;card;37.72;Latte
23/05/2024;card;32.82;Americano with Milk
23/05/2024;cash;39.0;Hot Chocolate
24/05/2024;card;27.92;Cortado
24/05/2024;card;27.92;Americano
24/05/2024;card;27.92;Americano
24/05/2024;card;37.72;Hot Chocolate
24/05/2024;card;27.92;Cortado
24/05/2024;card;27.92;Cortado
24/05/2024;card;32.82;Americano with Milk
25/05/2024;cash;29.0;Americano
25/05/2024;card;37.72;Latte
25/05/2024;cash;29.0;Americano
25/05/2024;card;32.82;Americano with Milk
25/05/2024;card;32.82;Americano with Milk
25/05/2024;card;32.82;Americano with Milk
25/05/2024;card;32.82;Americano with Milk
25/05/2024;card;27.92;Americano
26/05/2024;card;37.72;Latte
26/05/2024;card;32.82;Americano with Milk
26/05/2024;card;27.92;Cortado
26/05/2024;card;32.82;Americano with Milk
26/05/2024;card;37.72;Cappuccino
26/05/2024;card;37.72;Hot Chocolate
26/05/2024;card;37.72;Hot Chocolate
26/05/2024;card;27.92;Americano
26/05/2024;card;37.72;Latte
26/05/2024;card;37.72;Hot Chocolate
26/05/2024;card;37.72;Cappuccino
26/05/2024;card;27.92;Cortado
26/05/2024;card;37.72;Cappuccino
26/05/2024;card;37.72;Latte
26/05/2024;card;37.72;Cappuccino
27/05/2024;card;27.92;Americano
27/05/2024;card;32.82;Americano with Milk
27/05/2024;card;37.72;Cocoa
27/05/2024;card;27.92;Americano
27/05/2024;card;27.92;Americano
27/05/2024;card;37.72;Latte
27/05/2024;card;27.92;Americano
27/05/2024;card;37.72;Latte
27/05/2024;card;37.72;Latte
27/05/2024;card;32.82;Americano with Milk
27/05/2024;card;37.72;Cappuccino
28/05/2024;card;32.82;Americano with Milk
28/05/2024;card;32.82;Americano with Milk
28/05/2024;card;37.72;Cappuccino
28/05/2024;card;37.72;Cappuccino
28/05/2024;card;37.72;Cocoa
28/05/2024;card;27.92;Cortado
28/05/2024;cash;39.0;Cappuccino
28/05/2024;card;27.92;Americano
28/05/2024;card;37.72;Latte
28/05/2024;card;32.82;Americano with Milk
28/05/2024;card;27.92;Americano
29/05/2024;card;37.72;Latte
29/05/2024;cash;39.0;Latte
29/05/2024;card;37.72;Hot Chocolate
29/05/2024;card;27.92;Americano
29/05/2024;card;37.72;Latte
29/05/2024;card;37.72;Cappuccino
29/05/2024;card;37.72;Latte
29/05/2024;card;27.92;Cortado
29/05/2024;card;37.72;Latte
29/05/2024;card;37.72;Hot Chocolate
29/05/2024;card;37.72;Cocoa
30/05/2024;card;37.72;Cappuccino
30/05/2024;card;37.72;Latte
30/05/2024;card;32.82;Americano with Milk
30/05/2024;card;37.72;Latte
30/05/2024;card;32.82;Americano with Milk
30/05/2024;card;23.02;Espresso
30/05/2024;card;23.02;Espresso
30/05/2024;card;37.72;Cappuccino
30/05/2024;card;37.72;Latte
30/05/2024;card;37.72;Hot Chocolate
30/05/2024;card;32.82;Americano with Milk
31/05/2024;card;32.82;Americano with Milk
31/05/2024;card;37.72;Latte
31/05/2024;cash;39.0;Latte
31/05/2024;card;37.72;Hot Chocolate
31/05/2024;card;37.72;Cocoa
31/05/2024;card;32.82;Americano with Milk
31/05/2024;card;37.72;Latte
31/05/2024;card;37.72;Latte
31/05/2024;card;37.72;Cappuccino
31/05/2024;card;32.82;Americano with Milk
31/05/2024;card;37.72;Latte
31/05/2024;card;37.72;Cappuccino
31/05/2024;card;32.82;Americano with Milk
31/05/2024;card;27.92;Cortado
01/06/2024;card;27.92;Cortado
01/06/2024;card;37.72;Latte
01/06/2024;card;37.72;Latte
01/06/2024;card;32.82;Americano with Milk
01/06/2024;card;32.82;Americano with Milk
01/06/2024;card;32.82;Americano with Milk
01/06/2024;card;37.72;Cappuccino
01/06/2024;card;37.72;Cappuccino
01/06/2024;cash;39.0;Cocoa
01/06/2024;card;37.72;Cocoa
01/06/2024;card;32.82;Americano with Milk
02/06/2024;card;37.72;Latte
02/06/2024;card;32.82;Americano with Milk
02/06/2024;card;37.72;Cappuccino
02/06/2024;card;32.82;Americano with Milk
02/06/2024;card;37.72;Latte
02/06/2024;cash;34.0;Americano with Milk
03/06/2024;card;37.72;Latte
03/06/2024;card;37.72;Latte
03/06/2024;card;37.72;Cappuccino
03/06/2024;card;32.82;Americano with Milk
03/06/2024;card;37.72;Latte
03/06/2024;cash;34.0;Americano with Milk
03/06/2024;cash;34.0;Americano with Milk
04/06/2024;card;27.92;Cortado
04/06/2024;card;32.82;Americano with Milk
04/06/2024;card;37.72;Latte
04/06/2024;card;37.72;Hot Chocolate
04/06/2024;card;37.72;Latte
04/06/2024;card;27.92;Cortado
04/06/2024;card;37.72;Cappuccino
04/06/2024;card;37.72;Hot Chocolate
04/06/2024;card;37.72;Cappuccino
04/06/2024;card;27.92;Cortado
04/06/2024;card;32.82;Americano with Milk
04/06/2024;card;32.82;Americano with Milk
04/06/2024;card;32.82;Americano with Milk
04/06/2024;card;32.82;Americano with Milk
05/06/2024;card;37.72;Cappuccino
05/06/2024;card;37.72;Cappuccino
05/06/2024;card;27.92;Americano
05/06/2024;card;37.72;Latte
05/06/2024;card;32.82;Americano with Milk
05/06/2024;card;32.82;Americano with Milk
05/06/2024;card;37.72;Latte
05/06/2024;card;37.72;Cocoa
05/06/2024;card;27.92;Cortado
06/06/2024;card;32.82;Americano with Milk
06/06/2024;card;32.82;Americano with Milk
06/06/2024;card;37.72;Latte
06/06/2024;card;27.92;Americano
06/06/2024;card;32.82;Americano with Milk
06/06/2024;card;37.72;Cappuccino
06/06/2024;card;37.72;Latte
06/06/2024;card;37.72;Latte
06/06/2024;card;37.72;Cappuccino
06/06/2024;card;32.82;Americano with Milk
06/06/2024;card;37.72;Latte
07/06/2024;card;37.72;Cappuccino
07/06/2024;card;23.02;Espresso
07/06/2024;card;32.82;Americano with Milk
07/06/2024;card;27.92;Cortado
07/06/2024;card;27.92;Cortado
